#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
811330	9775	6651	115119	112534	-	HSPC310	EIF4A3	SON	DDX48|MUK34|NMP265|NUK34|RCPS|eIF4AIII	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Singh G (2012)	PUBMED:23084401	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38919	A0A024R8W0	NP_055555	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
817357	7415	6651	113258	112534	-	HSPC310	VCP	SON	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Yu CC (2013)	PUBMED:23383273	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P55072	Q96IF9|V9HW80	NP_009057|NP_001341857|NP_001341856	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0001007	AGS cell	cell line	DOID:3717	gastric adenocarcinoma	-	Homo sapiens	Homo sapiens
833905	55660	6651	120792	112534	HSPC225	HSPC310	PRPF40A	SON	FBP-11|FBP11|FLAF1|FNBP3|HIP-10|HIP10|HYPA|NY-REN-6|Prp40	BASS1|C21orf50|DBP-5|NREBP|SON3	Two-hybrid	physical	Colland F (2004)	PUBMED:15231748	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75400	Q05C41	NP_001352534|NP_001352526|NP_001352525|NP_001352530|NP_060362|NP_001352532|NP_001352533|NP_001341361|NP_001341360|NP_001352529|NP_001352528|NP_001352527|NP_001352531	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
872186	79885	6651	122970	112534	-	HSPC310	HDAC11	SON	HD11	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Joshi P (2013)	PUBMED:23752268	9606	9606	High Throughput	1.0	-	Exogenous expression of bait|Prey proteins with a SAINT score of >= 0.90 in HDAC1 and HDAC2, >= and 0.75 in HDAC3-10 were considered putative protein interactions, while prey proteins with SAINT scores of > 0.95 in both HDAC11 biological replicates were considered as putative interactions.	-	BIOGRID	Q96DB2	A0A024R2I1|E7ETT9|B5MCQ6	NP_001129513|NP_079103|NP_001317565	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000736	CCRF-CEM cell	cell line	DOID:5603	acute T cell leukemia	-	Homo sapiens	Homo sapiens
906241	7428	6651	113269	112534	-	HSPC310	VHL	SON	HRCA1|RCA1|VHL1|pVHL	BASS1|C21orf50|DBP-5|NREBP|SON3	Reconstituted Complex	physical	Lai Y (2012)	PUBMED:22234250	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P40337	A0A024R2F2	NP_000542|NP_937799	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
907086	6733	6651	112611	112534	-	HSPC310	SRPK2	SON	SFRSK2	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Varjosalo M (2013)	PUBMED:23602568	9606	9606	High Throughput	-	-	Exogenous expresssion of bait	-	BIOGRID	P78362	A0A024R704	NP_872633|NP_001265202|NP_872634	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
907089	6732	6651	112610	112534	RP3-422H11.1	HSPC310	SRPK1	SON	SFRSK1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Varjosalo M (2013)	PUBMED:23602568	9606	9606	High Throughput	-	-	Exogenous expresssion of bait	-	BIOGRID	Q96SB4	B4DS61	NP_003128	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
907090	1196	6651	107607	112534	-	HSPC310	CLK2	SON	-	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Varjosalo M (2013)	PUBMED:23602568	9606	9606	High Throughput	-	-	Exogenous expresssion of bait	-	BIOGRID	P49760	B1AVT0|A8K7I0|B7Z8N6	NP_001281267|NP_003984|NP_001281268	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
907091	26576	6651	117745	112534	-	HSPC310	SRPK3	SON	MSSK-1|MSSK1|STK23	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Varjosalo M (2013)	PUBMED:23602568	9606	9606	High Throughput	-	-	Exogenous expresssion of bait	-	BIOGRID	Q9UPE1	-	NP_001164231|NP_001164232|NP_055185	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
950894	51647	6651	119656	112534	CGI-128	HSPC310	FAM96B	SON	MIP18	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Stehling O (2013)	PUBMED:23891004	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y3D0	-	NP_057146	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1058065	9820	6651	115159	112534	-	HSPC310	CUL7	SON	3M1|KIAA0076|dJ20C7.5	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Hanson D (2014)	PUBMED:24711643	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q14999	-	NP_001361802|NP_001361803|NP_001161842|NP_001361801|NP_055595	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1058646	23363	6651	116944	112534	-	HSPC310	OBSL1	SON	-	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Hanson D (2014)	PUBMED:24711643	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75147	Q9H8B3	NP_001166902|NP_056126|NP_001166879	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1062721	2146	6651	108446	112534	-	HSPC310	EZH2	SON	ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15910	S4S3R8	NP_694543|NP_001190176|NP_004447|NP_001190178|NP_001190177	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1062872	23512	6651	117059	112534	-	HSPC310	SUZ12	SON	CHET9|JJAZ1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15022	J3QQW9|A8K1U9	NP_001308136|NP_056170	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1063448	8726	6651	114265	112534	-	HSPC310	EED	SON	HEED|WAIT1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75530	E9PJK2	NP_001294936|NP_694536|NP_003788	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1063556	6045	6651	111972	112534	GS1-120K12.1	HSPC310	RNF2	SON	BAP-1|BAP1|DING|HIPI3|RING1B|RING2	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q99496	-	NP_009143	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1064173	648	6651	107116	112534	RP11-573G6.1	HSPC310	BMI1	SON	FLVI2/BMI1|PCGF4|RNF51	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35226	-	NP_005171	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1186943	83759	6651	123760	112534	-	HSPC310	RBM4B	SON	RBM30|RBM4L|ZCCHC15|ZCCHC21B|ZCRB3B	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.942955968	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.942955968, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9BQ04	E9PLB0	NP_001273064|NP_113680	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1192314	344658	6651	131314	112534	-	HSPC310	SAMD7	SON	-	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.949605206	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.949605206, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q7Z3H4	-	NP_872416	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1256126	23291	6651	116887	112534	-	HSPC310	FBXW11	SON	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Low TY (2014)	PUBMED:25515538	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UKB1	B4DH70	NP_387448|NP_036432|NP_001365909|NP_001365908|NP_001365907|NP_001365906|NP_001365905|NP_001365904|NP_001365903|NP_387449	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1272482	84991	6651	124416	112534	RP11-414H17.9	HSPC310	RBM17	SON	SPF45	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.098000132	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q96I25	Q5W009	NP_001139019|NP_116294	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1272483	9584	6651	114952	112534	RP11-353C18.2	HSPC310	RBM39	SON	CAPER|CAPERalpha|FSAP59|HCC1|RNPC2	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.205126771	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q14498	B4DRA0|E1P5S2	NP_001310352|NP_001310353|NP_001310351|NP_909122|NP_004893|NP_001229528|NP_001229529	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1415499	3428	6651	109654	112534	-	HSPC310	IFI16	SON	IFNGIP1|PYHIN2	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Diner BA (2015)	PUBMED:25693804	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16666	-	NP_001363516|NP_001363517|NP_005522|NP_001363521|NP_001363520|NP_001363518|NP_001351796|NP_001193496	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1426011	155030	6651	1205537	112534	HIV1gp2	HSPC310	gag	SON	-	BASS1|C21orf50|DBP-5|NREBP|SON3	Proximity Label-MS	physical	Le Sage V (2015)	PUBMED:26362536	11676	9606	High Throughput	-	-	BioID|P04591|PRO_0000261216|P04591#PRO_0000261216|NP_057850.1	-	BIOGRID	P04591	-	NP_057850	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
1429459	6733	6651	112611	112534	-	HSPC310	SRPK2	SON	SFRSK2	BASS1|C21orf50|DBP-5|NREBP|SON3	Biochemical Activity	physical	Lipp JJ (2015)	PUBMED:26167880	9606	9606	High Throughput	-	Phosphorylation	We labeled HeLa extracts with N6-phenethyl-ATP-gammaS in the presence of either recombinant WT or analog-sensitive Srpk2. We then purified thiophosphorylated peptides and identified Srpk2 substrates as well as their phosphorylation sites by MS	-	BIOGRID	P78362	A0A024R704	NP_872633|NP_001265202|NP_872634	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1447350	22920	6651	116582	112534	RP1-190I16.1	HSPC310	KIFAP3	SON	FLA3|KAP-1|KAP-3|KAP3|SMAP|Smg-GDS|dJ190I16.1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q92845	-	NP_001191443|NP_001191446|NP_001191445|NP_055785|NP_001362760|NP_001362759	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1526023	11338	6651	116466	112534	-	HSPC310	U2AF2	SON	U2AF65	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Whisenant TC (2015)	PUBMED:26641092	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P26368	-	NP_001012496|NP_009210	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2206362	474	6651	106964	112534	-	HSPC310	ATOH1	SON	ATH1|HATH1|MATH-1|bHLHa14	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Cheng YF (2016)	PUBMED:27542412	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92858	-	NP_005163	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2206910	56946	6651	121270	112534	GL002	HSPC310	C11orf30	SON	EMSY	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Varier RA (2016)	PUBMED:26841866	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q7Z589	-	NP_001287871|NP_001287872|NP_001287873|NP_064578	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2381540	7319	6651	113167	112534	-	HSPC310	UBE2A	SON	HHR6A|MRXS30|MRXSN|RAD6A|UBC2	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	An H (2017)	PUBMED:28031328	9606	9606	High Throughput	-	-	Source of UBE2A not clear	-	BIOGRID	P49459	-	NP_861427|NP_001269090|NP_003327	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2460817	8682	6651	114230	112534	RP11-536C5.8	HSPC310	PEA15	SON	HMAT1|HUMMAT1H|MAT1|MAT1H|PEA-15|PED	BASS1|C21orf50|DBP-5|NREBP|SON3	Two-hybrid	physical	Nagarajan A (2014)	PUBMED:24710276	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15121	B1AKZ5|B1AKZ4|Q96FS5	NP_003759|NP_001284505|NP_001284507|NP_001284506	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2461176	25793	6651	117326	112534	LL22NC03-28H9.2	HSPC310	FBXO7	SON	FBX|FBX07|FBX7|PARK15|PKPS	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Teixeira FR (2016)	PUBMED:27503909	9606	9606	High Throughput	-	-	hits identified in IP of delta-Fbox mutant of Fbxo7 but not wt Fbxo7	-	BIOGRID	Q9Y3I1	-	NP_036311|NP_001028196|NP_001244919	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2465749	26959	6651	117927	112534	-	HSPC310	HBP1	SON	-	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Lampert F (2018)	PUBMED:29911972	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60381	A0A024R722|B4DJ36	NP_036389|NP_001231191	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2488886	9343	6651	114749	112534	-	HSPC310	EFTUD2	SON	MFDGA|MFDM|SNRNP116|Snrp116|Snu114|U5-116KD	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Malinova A (2017)	PUBMED:28515276	9606	9606	High Throughput	-	-	Eftud2-DADE	-	BIOGRID	Q15029	B3KX19	NP_004238|NP_001136077|NP_001245282|NP_001245283	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2516167	2256	6651	108547	112534	-	HSPC310	FGF11	SON	FHF3	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Lee KW (2017)	PUBMED:28027390	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92914	-	NP_004103	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2519285	2100	6651	108404	112534	-	HSPC310	ESR2	SON	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Giurato G (2018)	PUBMED:29509190	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92731	Q0PTK2|Q7LCB3|F1D8N3	NP_001201832|NP_001428|NP_001201831|NP_001278641|NP_001035365|NP_001278652|NP_001258805|NP_001258806	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2533902	28960	6651	118787	112534	HSPC015	HSPC310	DCPS	SON	DCS1|HINT-5|HINT5|HSL1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Yamauchi T (2018)	PUBMED:29478914	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q96C86	-	NP_001337165|NP_054745	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2541329	4609	6651	110694	112534	-	HSPC310	MYC	SON	MRTL|MYCC|bHLHe39|c-Myc	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Heidelberger JB (2018)	PUBMED:29467282	9606	9606	High Throughput	-	-	-	-	BIOGRID	P01106	-	NP_002458|NP_001341799	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2564639	25962	6651	117452	112534	MSTP054	HSPC310	KIAA1429	SON	fSAP121	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-RNA	physical	Yue Y (2018)	PUBMED:29507755	9606	9606	High Throughput	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID	Q69YN4	-	NP_056311|NP_892121	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2571426	54542	6651	120029	112534	RP11-163B6.3	HSPC310	RC3H2	SON	MNAB|RNF164	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Choi J (2018)	PUBMED:30209976	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9HBD1	A0A024R899	NP_001094058|NP_061323	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2575803	70	6651	106585	112534	-	HSPC310	ACTC1	SON	ACTC|ASD5|CMD1R|CMH11|LVNC4	BASS1|C21orf50|DBP-5|NREBP|SON3	Proximity Label-MS	physical	Viita T (2019)	PUBMED:30890647	9606	9606	High Throughput	-	-	-	-	BIOGRID	P68032	B3KPP5	NP_005150	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2592979	5245	6651	111264	112534	-	HSPC310	PHB	SON	HEL-215|HEL-S-54e|PHB1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Xu Y (2016)	PUBMED:27025967	9606	9606	High Throughput	-	-	-	-	BIOGRID	P35232	Q53FV0|A8K401	NP_001268644|NP_001268425|NP_001268426|NP_002625	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2594925	9978	6651	115301	112534	RP11-554C12.1	HSPC310	RBX1	SON	BA554C12.1|RNF75|ROC1	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Li Y (2018)	PUBMED:30349055	9606	9606	High Throughput	-	-	-	-	BIOGRID	P62877	-	NP_055063	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2607285	7182	6651	113034	112534	-	HSPC310	NR2C2	SON	TAK1|TR4	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Yu L (2018)	PUBMED:30463901	9606	9606	High Throughput	-	-	assayed using BioID (proximity-dependent biotin identification)	-	BIOGRID	P49116	F2YGU2	NP_001278623|NP_003289	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2609336	5501	6651	111495	112534	-	HSPC310	PPP1CC	SON	PP-1G|PP1C|PPP1G	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Weith M (2018)	PUBMED:30344098	9606	9606	High Throughput	-	-	-	-	BIOGRID	P36873	A0A024RBP2	NP_001231903|NP_002701	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2617400	63976	6651	122023	112534	-	HSPC310	PRDM16	SON	CMD1LL|LVNC8|MEL1|PFM13	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Ivanochko D (2019)	PUBMED:30462309	9606	9606	High Throughput	-	-	PRDM16deltaPR|high confidence interactors have a BDFR=/<0.01	-	BIOGRID	Q9HAZ2	D6RDW0	NP_955533|NP_071397	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2617549	2122	6651	108423	112534	hCG_1640438	HSPC310	MECOM	SON	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Ivanochko D (2019)	PUBMED:30462309	9606	9606	High Throughput	-	-	PRDM3|PRDM3dPR|high confidence interactors have a BDFR</=0.01	-	BIOGRID	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2631645	8359	6651	113955	112534	-	HSPC310	HIST1H4A	SON	H4FA	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Nakamura K (2019)	PUBMED:30804502	9606	9606	High Throughput	-	-	assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation)	-	BIOGRID	P62805	B2R4R0	NP_003529	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
